"","title","artist","acousticness","danceability","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence","duration_sec","like"
"1","4 AM","2 Chainz",0.185,0.797,0.498,0,6,0.163,-6.732,0,0.458,75.021,4,0.215,255.557,"1"
"2","Ambitionz Az A Ridah","2Pac",0.00239,0.801,0.91,0.000909,2,0.0737,-6.566,1,0.225,87.276,4,0.804,278.387,"1"
"3","California Love - Original Version","2Pac",0.0296,0.769,0.852,1.38e-06,7,0.44,-2.763,1,0.0438,91.532,4,0.76,285.027,"1"
"4","Changes - Greatest Hits Version","2Pac",0.0459,0.859,0.676,0,7,0.239,-6.099,1,0.0714,111.107,4,0.329,268.96,"1"
"5","Hit 'Em Up - Single Version","2Pac",0.0466,0.921,0.843,0,7,0.0757,-4.008,1,0.239,95.193,4,0.589,312.627,"1"
"6","Shabba","A$AP Ferg",0.0715,0.869,0.712,0,9,0.272,-6.136,1,0.103,120,4,0.435,275.867,"1"
"7","1Train","A$AP Rocky",0.349,0.622,0.872,0,2,0.695,-3.403,1,0.332,83.568,4,0.768,372.173,"1"
"8","Black Tux, White Collar","A$AP Rocky",0.484,0.696,0.597,0,4,0.138,-7.676,1,0.248,75.997,4,0.264,162.987,"1"
"9","Changes","A$AP Rocky",0.47,0.478,0.326,0.000218,3,0.323,-10.992,1,0.0693,137.029,4,0.34,314.653,"1"
"10","Hun43rd","A$AP Rocky",0.444,0.584,0.546,0,2,0.355,-9.321,1,0.0762,136.336,4,0.355,242.747,"1"
"11","L$D","A$AP Rocky",0.193,0.598,0.252,0.138,2,0.0992,-15.086,1,0.0647,120.06,4,0.0352,238.307,"1"
"12","Purity","A$AP Rocky",0.832,0.594,0.37,0,11,0.108,-11.674,0,0.404,135.391,4,0.309,262.36,"1"
"13","Wavybone","A$AP Rocky",0.0162,0.7,0.641,3.06e-06,2,0.206,-8.673,0,0.317,149.992,4,0.383,303,"1"
"14","Dancing Queen","ABBA",0.42,0.546,0.879,0.00188,9,0.775,-6.397,1,0.0441,100.819,4,0.783,230.693,"1"
"15","Make You Feel My Love","Adele",0.894,0.552,0.18,0.000393,10,0.105,-10.583,1,0.0293,76.995,4,0.0896,212.04,"1"
"16","Send My Love (To Your New Lover)","Adele",0.0415,0.69,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562,223.08,"1"
"17","All Out of Love","Air Supply",0.291,0.503,0.47,0,0,0.396,-8.006,1,0.0257,108.486,4,0.334,241.373,"1"
"18","Let's Stay Together","Al Green",0.57,0.756,0.397,0.0115,7,0.0542,-10.701,0,0.0522,101.985,4,0.507,199.396,"1"
"19","Down To The River To Pray - From “O Brother, Where Art Thou” Soundtrack","Alison Krauss",0.965,0.535,0.174,0,4,0.145,-14.668,1,0.0796,131.407,4,0.634,176.92,"1"
"20","Million","Allen Stone",0.314,0.744,0.286,2.87e-05,9,0.253,-8.982,0,0.0611,127.855,3,0.396,265.52,"1"
"21","3WW","alt-J",0.679,0.634,0.139,0.036,2,0.0612,-15.102,1,0.0533,78.053,4,0.158,300.427,"1"
"22","Dancing In The Moonlight (It's Caught Me In Its Spotlight) - Recorded At Spotify Studios NYC","alt-J",0.916,0.481,0.164,0.145,2,0.16,-17.201,1,0.0391,130.229,4,0.405,143.966,"1"
"23","Back To Black","Amy Winehouse",0.179,0.513,0.724,1.82e-05,7,0.086,-3.25,0,0.0398,123.439,4,0.34,240.44,"1"
"24","He Can Only Hold Her","Amy Winehouse",0.0262,0.627,0.826,0.00674,11,0.0569,-4.143,1,0.092,98.434,4,0.685,164.88,"1"
"25","Rehab","Amy Winehouse",0.034,0.534,0.859,1.23e-06,0,0.413,-2.846,1,0.0785,72.776,4,0.729,213.76,"1"
"26","Am I Wrong","Anderson .Paak",0.0588,0.729,0.799,0.00218,11,0.0948,-7.378,0,0.0779,115.04,4,0.532,253.52,"1"
"27","The Dreamer","Anderson .Paak",0.324,0.52,0.778,0,9,0.896,-4.161,1,0.26,164.677,4,0.388,339.973,"1"
"28","The Season | Carry Me","Anderson .Paak",0.0998,0.387,0.726,0,1,0.653,-7.681,1,0.412,78.846,4,0.632,328.813,"1"
"29","My Girls","Animal Collective",0.256,0.508,0.953,0.0445,4,0.929,-6.031,0,0.0806,119.973,4,0.555,340.787,"1"
"30","Reflektor","Arcade Fire",0.0438,0.59,0.721,0.0155,11,0.352,-8.32,0,0.0317,111.524,4,0.656,453.949,"1"
"31","Wake Up","Arcade Fire",0.12,0.252,0.8,0.0538,0,0.118,-4.845,1,0.0368,139.361,4,0.29,335.333,"1"
"32","Mad Sounds","Arctic Monkeys",0.279,0.532,0.462,0.196,10,0.101,-10.71,1,0.03,80.001,4,0.485,215.012,"1"
"33","Baby I","Ariana Grande",0.0154,0.725,0.796,0,1,0.354,-3.684,1,0.0326,101.976,4,0.517,197.6,"1"
"34","Dangerous Woman","Ariana Grande",0.0499,0.672,0.605,0,7,0.357,-5.353,1,0.0378,134.015,3,0.297,235.947,"1"
"35","The Way","Ariana Grande",0.294,0.645,0.877,0,5,0.0759,-3.208,0,0.113,82.324,4,0.861,227.027,"1"
"36","Levitate","Atlas Genius",0.459,0.539,0.446,0,5,0.133,-7.691,1,0.0263,96.984,4,0.226,204.4,"1"
"37","Complicated","Avril Lavigne",0.0572,0.585,0.776,7.74e-06,5,0.3,-5.898,1,0.0459,77.987,4,0.427,244.507,"1"
"38","Here's to Never Growing Up","Avril Lavigne",0.011,0.487,0.876,0,0,0.401,-3.152,1,0.0946,164.997,4,0.725,214.32,"1"
"39","What the Hell","Avril Lavigne",0.00448,0.571,0.932,0.00939,6,0.117,-3.68,0,0.0576,150.014,4,0.864,220.627,"1"
"40","How Deep Is Your Love","Bee Gees",0.121,0.631,0.352,0,5,0.11,-9.344,0,0.0262,104.94,4,0.679,245.2,"1"
"41","Stand By Me","Ben E. King",0.57,0.65,0.306,7.07e-06,9,0.0707,-9.443,1,0.0393,118.068,4,0.605,180.056,"1"
"42","When I'm With You","Best Coast",0.48,0.243,0.819,0.886,7,0.299,-4.606,1,0.0478,145.121,4,0.328,178.08,"1"
"43","***Flawless","Beyoncé",0.0953,0.476,0.688,0.000645,1,0.438,-7.799,1,0.245,140.553,4,0.352,250.96,"1"
"44","7/11","Beyoncé",0.0128,0.747,0.705,0,9,0.126,-5.137,0,0.126,136.024,4,0.56,213.507,"1"
"45","Flawless Remix","Beyoncé",0.241,0.639,0.659,8.33e-06,8,0.484,-7.273,1,0.215,136.801,4,0.457,234.413,"1"
"46","Halo","Beyoncé",0.272,0.508,0.72,0,11,0.0563,-5.908,0,0.0628,79.983,4,0.472,261.64,"1"
"47","Love On Top","Beyoncé",0.0849,0.652,0.748,0,0,0.604,-5.242,1,0.0887,94.1,4,0.652,267.413,"1"
"48","Mine","Beyoncé",0.0673,0.557,0.428,0.0019,5,0.139,-11.299,1,0.137,103.009,4,0.0996,378.6,"1"
"49","Partition","Beyoncé",0.0296,0.412,0.441,0.0726,11,0.306,-11.523,0,0.291,185.571,4,0.174,319.467,"1"
"50","Superpower","Beyoncé",0.643,0.527,0.334,0,0,0.114,-11.54,1,0.0681,80.334,3,0.186,276.56,"1"
"51","Shine Blockas","Big Boi",0.00821,0.524,0.748,0,7,0.0719,-3.633,1,0.19,170.901,4,0.434,225.64,"1"
"52","Shutterbugg","Big Boi",0.308,0.591,0.912,0,2,0.122,-5.141,1,0.408,116.407,5,0.547,215.24,"1"
"53","Country Sh*t (Remix)","Big K.R.I.T.",0.000892,0.752,0.592,0,0,0.467,-5.52,1,0.0376,128.06,4,0.25,241.88,"1"
"54","Lean on Me","Bill Withers",0.782,0.619,0.22,1.19e-05,0,0.124,-13.843,1,0.0667,75.16,4,0.423,258.835,"1"
"55","ocean eyes","Billie Eilish",0.794,0.348,0.385,0.0656,4,0.0856,-8.227,0,0.0573,144.758,4,0.135,200.379,"1"
"56","Only the Good Die Young","Billy Joel",0.159,0.579,0.872,0,0,0.0935,-6.126,1,0.159,76.214,4,0.761,235.56,"1"
"57","Piano Man","Billy Joel",0.618,0.334,0.477,4.17e-06,0,0.312,-8.806,1,0.0276,179.239,3,0.405,336.2,"1"
"58","Vienna","Billy Joel",0.659,0.532,0.495,0,10,0.0754,-6.662,1,0.0343,124.936,4,0.308,214.24,"1"
"59","Skinny Love","Birdy",0.952,0.379,0.29,0.00106,4,0.118,-8.485,1,0.051,166.467,4,0.169,201.08,"1"
"60","Just A Friend","Biz Markie",0.12,0.862,0.663,0,0,0.318,-9.004,1,0.21,85.308,4,0.837,238.267,"1"
"61","Buckets of Rain","Bob Dylan",0.539,0.514,0.234,0.00254,4,0.109,-18.245,1,0.0328,173.644,4,0.454,203.507,"1"
"62","Tangled up in Blue","Bob Dylan",0.414,0.421,0.661,1.16e-06,9,0.0962,-13.126,1,0.0433,100.965,4,0.554,341.627,"1"
"63","The Times They Are A-Changin'","Bob Dylan",0.887,0.389,0.396,0,7,0.0828,-7.999,1,0.0332,171.86,3,0.585,192.053,"1"
"64","When the Deal Goes Down","Bob Dylan",0.714,0.562,0.277,1.15e-05,1,0.0765,-11.901,1,0.0366,94.159,3,0.255,304.187,"1"
"65","One Love / People Get Ready","Bob Marley & The Wailers",0.0912,0.719,0.515,0,10,0.0791,-9.72,1,0.348,76.518,4,0.927,172.933,"1"
"66","I Must Be In A Good Place Now","Bobby Charles",0.898,0.586,0.136,0.000277,5,0.0827,-15.872,1,0.0334,110.129,4,0.278,247.933,"1"
"67","22 (OVER S∞∞N)","Bon Iver",0.972,0.298,0.112,0.0823,1,0.0935,-15.765,1,0.0353,86.786,4,0.0972,168,"1"
"68","Blindsided","Bon Iver",0.958,0.671,0.147,0.0779,10,0.144,-18.626,1,0.0366,115.298,4,0.0556,329.267,"1"
"69","Re: Stacks","Bon Iver",0.979,0.676,0.0812,0.416,2,0.118,-22.846,1,0.0398,125.053,4,0.314,401.413,"1"
"70","Skinny Love","Bon Iver",0.844,0.593,0.263,5.36e-06,4,0.127,-14.029,0,0.0567,76.379,4,0.109,238.52,"1"
"71","Electric Love","BØRNS",0.00461,0.609,0.804,0.00143,6,0.231,-7.596,0,0.0529,120.049,4,0.577,218.107,"1"
"72","More Than a Feeling","Boston",0.000894,0.377,0.682,0.00217,7,0.0504,-8.039,1,0.0299,108.736,4,0.288,285.133,"1"
"73","Everytime","boy pablo",0.0252,0.431,0.669,0.0433,2,0.117,-10.065,1,0.035,203.906,4,0.855,172.941,"1"
"74","I'm a Slave 4 U","Britney Spears",0.415,0.847,0.843,0.000134,5,0.107,-3.579,0,0.106,110.027,4,0.963,203.6,"1"
"75","Toxic","Britney Spears",0.0249,0.774,0.838,0.025,5,0.242,-3.914,0,0.114,143.04,4,0.924,198.8,"1"
"76","Treasure","Bruno Mars",0.0412,0.874,0.692,7.24e-05,5,0.324,-5.28,0,0.0431,116.017,4,0.937,178.56,"1"
"77","When I Was Your Man","Bruno Mars",0.932,0.612,0.28,0,0,0.088,-8.648,1,0.0434,72.795,4,0.387,213.827,"1"
"78","Don't","Bryson Tiller",0.222,0.765,0.356,0,11,0.0963,-5.556,0,0.196,97.001,4,0.19,198.293,"1"
"79","Telescope","Cage The Elephant",0.273,0.588,0.481,1.33e-05,0,0.0986,-4.801,1,0.0285,93.568,4,0.176,228.293,"1"
"80","Slide","Calvin Harris",0.498,0.736,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,0.511,230.813,"1"
"81","Bodak Yellow","Cardi B",0.0659,0.926,0.703,0,11,0.231,-6.337,0,0.103,125.022,4,0.485,223.713,"1"
"82","Drip (feat. Migos)","Cardi B",0.0511,0.968,0.589,0,11,0.0731,-7.808,1,0.255,129.993,4,0.268,262.308,"1"
"83","Money Bag","Cardi B",0.107,0.947,0.788,0.000691,10,0.108,-6.138,0,0.124,129.977,4,0.454,229.005,"1"
"84","Silver","Caribou",0.141,0.612,0.607,0.167,1,0.104,-8.637,0,0.0396,79.975,4,0.661,316.653,"1"
"85","No Problem (feat. Lil Wayne & 2 Chainz)","Chance the Rapper",0.156,0.652,0.795,0,11,0.123,-5.192,0,0.174,135.018,4,0.788,304.607,"1"
"86","IV. Sweatpants","Childish Gambino",0.169,0.644,0.479,0,4,0.639,-8.352,1,0.177,79.929,4,0.612,180.68,"1"
"87","This Is America","Childish Gambino",0.117,0.854,0.463,0,5,0.354,-6.159,1,0.137,120.024,4,0.549,225.773,"1"
"88","Johnny B. Goode","Chuck Berry",0.748,0.522,0.806,5.48e-05,10,0.313,-9.097,1,0.0817,168.078,4,0.969,161.56,"1"
"89","You Never Can Tell","Chuck Berry",0.693,0.577,0.845,6.99e-05,7,0.204,-9.352,1,0.166,157.266,4,0.914,161.907,"1"
"90","4EVER","Clairo",0.049,0.75,0.585,0.00552,9,0.155,-7.576,0,0.0285,102.331,4,0.584,159.595,"1"
"91","How - demo","Clairo",0.766,0.649,0.428,0.00294,8,0.0816,-4.584,0,0.0313,77.057,4,0.514,127.04,"1"
"92","Pretty Girl","Clairo",0.506,0.921,0.432,0.00223,0,0.0617,-11.109,1,0.0502,112.117,4,0.693,178.32,"1"
"93","Pretty Girl","Clairo",0.634,0.893,0.631,0.000297,0,0.0607,-4.114,1,0.0418,112.129,4,0.725,179.848,"1"
"94","Rather Be (feat. Jess Glynne)","Clean Bandit",0.162,0.799,0.586,2.03e-06,11,0.193,-6.735,1,0.0377,120.97,4,0.549,227.833,"1"
"95","Clocks","Coldplay",0.599,0.577,0.749,0.0112,5,0.183,-7.215,0,0.0279,130.969,4,0.261,307.88,"1"
"96","Paradise","Coldplay",0.0522,0.449,0.585,8.49e-05,5,0.0833,-6.762,1,0.0268,139.627,4,0.203,278.719,"1"
"97","Sparks","Coldplay",0.746,0.371,0.268,0.0517,1,0.104,-10.506,1,0.0283,102.623,3,0.165,227.093,"1"
"98","Viva La Vida","Coldplay",0.0941,0.485,0.619,3.31e-06,5,0.109,-7.115,0,0.0289,138.017,4,0.416,242.373,"1"
"99","Put Your Records On","Corinne Bailey Rae",0.167,0.739,0.511,1.34e-06,9,0.133,-7.844,1,0.0362,96.038,4,0.542,215.36,"1"
"100","An Illustration of Loneliness (Sleepless In New York)","Courtney Barnett",0.000126,0.517,0.643,0.0201,0,0.157,-6.571,1,0.0315,203.724,4,0.967,190.92,"1"
"101","Aqua Profunda!","Courtney Barnett",0.000108,0.703,0.663,0.324,11,0.125,-7.424,0,0.0335,135.909,4,0.631,119.92,"1"
"102","Boxing Day Blues","Courtney Barnett",0.94,0.629,0.0619,0.00018,2,0.103,-15.317,1,0.0334,62.049,4,0.36,182.063,"1"
"103","City Looks Pretty","Courtney Barnett",0.00691,0.31,0.781,0.00351,2,0.113,-6.544,1,0.0341,128.024,4,0.185,281.587,"1"
"104","Dead Fox","Courtney Barnett",8.85e-05,0.574,0.69,1.86e-05,11,0.0846,-5.938,0,0.0388,128.556,4,0.577,213.08,"1"
"105","Depreston","Courtney Barnett",0.0246,0.692,0.467,1.43e-05,0,0.059,-11.577,1,0.0336,126.407,4,0.422,292.853,"1"
"106","Elevator Operator","Courtney Barnett",0.000766,0.682,0.769,0.00898,1,0.36,-7.197,1,0.0324,131.693,4,0.769,194.947,"1"
"107","Help Your Self","Courtney Barnett",0.0251,0.509,0.617,2.78e-05,9,0.0711,-6.335,1,0.138,207.981,4,0.737,182.227,"1"
"108","Nobody Really Cares If You Don't Go to the Party","Courtney Barnett",1.64e-05,0.421,0.93,0.128,9,0.341,-5.133,1,0.0741,136.688,4,0.574,166.08,"1"
"109","Pedestrian at Best","Courtney Barnett",4.61e-06,0.479,0.854,5.72e-05,11,0.372,-6.101,1,0.0405,136.067,4,0.535,230.56,"1"
"110","Small Poppies","Courtney Barnett",0.0047,0.332,0.442,0.0128,7,0.115,-9.055,1,0.0269,170.717,3,0.222,419.907,"1"
"111","Sunday Roast","Courtney Barnett",0.137,0.626,0.506,0.00303,2,0.0577,-8.899,1,0.0311,114.955,4,0.0859,284.32,"1"
"112","Bad Moon Rising","Creedence Clearwater Revival",0.0543,0.641,0.774,1.05e-05,2,0.0473,-5.916,1,0.0278,89.787,4,0.942,141.6,"1"
"113","Have You Ever Seen The Rain?","Creedence Clearwater Revival",0.0876,0.776,0.516,1.82e-05,0,0.182,-9.981,1,0.0295,115.989,4,0.806,160,"1"
"114","Doin' it Right","Daft Punk",0.388,0.804,0.451,2.17e-05,6,0.0924,-8.207,1,0.0949,178.061,4,0.19,251.293,"1"
"115","Rich Girl","Daryl Hall & John Oates",0.461,0.573,0.683,0,5,0.0935,-6.644,1,0.176,169.519,4,0.817,142.787,"1"
"116","You Make My Dreams - Remastered","Daryl Hall & John Oates",0.251,0.748,0.652,0.0598,5,0.0408,-6.851,1,0.0594,167.17,4,0.859,190.733,"1"
"117","The Election of 1800","Daveed Diggs",0.319,0.731,0.42,0,10,0.306,-10.199,1,0.463,67.41,4,0.645,237.983,"1"
"118","""Heroes"" - 2017 Remastered Version","David Bowie",0.000671,0.49,0.758,0.484,7,0.092,-6.491,1,0.0297,112.114,4,0.435,371.413,"1"
"119","Panda","Desiigner",0.0235,0.72,0.748,0,10,0.369,-5.522,0,0.393,145.22,4,0.246,247.867,"1"
"120","I'm Coming Out","Diana Ross",0.174,0.742,0.92,0.123,5,0.0715,-4.46,1,0.0503,110.093,4,0.758,326.373,"1"
"121","When A Fire Starts To Burn","Disclosure",0.00975,0.867,0.746,0.000879,7,0.238,-6.969,1,0.208,123.954,4,0.642,283.706,"1"
"122","1. Largo","Dmitri Shostakovich",0.975,0.0956,0.0179,0.853,0,0.088,-29.481,1,0.0447,87.992,4,0.031,337.133,"1"
"123","2. Allegro molto","Dmitri Shostakovich",0.965,0.423,0.448,0.878,7,0.102,-13.57,1,0.0377,126.428,4,0.428,173.133,"1"
"124","3. Allegretto","Dmitri Shostakovich",0.973,0.505,0.084,0.945,0,0.0717,-22.178,0,0.0448,114.32,1,0.317,275.653,"1"
"125","4. Largo","Dmitri Shostakovich",0.97,0.104,0.00922,0.89,8,0.113,-25.483,1,0.046,87.632,3,0.0313,410.28,"1"
"126","5. Largo","Dmitri Shostakovich",0.973,0.15,0.0152,0.924,7,0.0806,-24.962,1,0.0505,88.536,4,0.0349,267.827,"1"
"127","Cake By The Ocean","DNCE",0.156,0.774,0.765,0,4,0.0373,-5.439,0,0.0502,119.001,4,0.917,219.147,"1"
"128","All Me","Drake",0.0704,0.667,0.506,0,1,0.257,-6.944,1,0.394,122.012,4,0.398,270.867,"1"
"129","God's Plan","Drake",0.0329,0.754,0.449,7.84e-05,7,0.55,-9.212,1,0.108,77.167,4,0.35,198.973,"1"
"130","Hold On, We're Going Home","Drake",0.00349,0.772,0.407,2.4e-05,6,0.0705,-7.442,0,0.0907,100.006,4,0.292,227.88,"1"
"131","Jumpman","Drake",0.0565,0.853,0.547,0,1,0.341,-7.535,1,0.194,142.065,4,0.676,205.879,"1"
"132","Lord Knows","Drake",0.0699,0.551,0.88,0,8,0.807,-5.531,1,0.294,83.9,4,0.319,307.64,"1"
"133","Marvins Room","Drake",0.662,0.51,0.255,0.00216,9,0.0714,-17.404,0,0.0965,111.467,5,0.336,347.227,"1"
"134","Marvins Room","Drake",0.688,0.407,0.256,0.00318,9,0.0718,-17.424,0,0.117,166.571,4,0.317,347.227,"1"
"135","Passionfruit","Drake",0.304,0.804,0.459,0.0862,11,0.11,-11.556,1,0.039,111.963,4,0.372,298.941,"1"
"136","Sacrifices","Drake",0.0463,0.903,0.432,0,8,0.111,-11.885,1,0.426,139.028,4,0.555,307.593,"1"
"137","Take Care","Drake",0.0315,0.682,0.527,3.85e-05,0,0.0926,-10.426,0,0.234,121.743,4,0.306,277.387,"1"
"138","Tuscan Leather","Drake",0.112,0.426,0.67,0,6,0.207,-5.424,1,0.444,71.046,4,0.29,366.4,"1"
"139","Up All Night","Drake",0.0141,0.602,0.81,7.66e-06,7,0.324,-4.653,1,0.286,156.325,4,0.275,234.333,"1"
"140","Uptown","Drake",0.00349,0.676,0.76,0,1,0.136,-4.659,1,0.328,128.06,4,0.322,381.24,"1"
"141","We'll Be Fine","Drake",0.00228,0.385,0.493,0,6,0.634,-7.447,0,0.435,194.95,4,0.27,247.947,"1"
"142","Worst Behavior","Drake",0.153,0.772,0.794,0,9,0.211,-6.372,1,0.164,109.942,4,0.395,270.187,"1"
"143","September","Earth, Wind & Fire",0.114,0.697,0.809,0.000521,9,0.183,-8.197,1,0.0302,125.941,4,0.98,214.827,"1"
"144","Give Me Love","Ed Sheeran",0.694,0.526,0.328,0,1,0.112,-9.864,1,0.0461,116.068,4,0.11,526.387,"1"
"145","The A Team","Ed Sheeran",0.669,0.642,0.289,0,9,0.18,-9.918,1,0.0367,84.996,4,0.407,258.373,"1"
"146","Thinking Out Loud","Ed Sheeran",0.474,0.781,0.445,0,2,0.184,-6.061,1,0.0295,78.998,4,0.591,281.56,"1"
"147","Rocket Man (I Think It's Going To Be A Long Long Time)","Elton John",0.386,0.602,0.522,1.44e-05,10,0.0941,-9.031,1,0.0285,136.637,4,0.36,281.613,"1"
"148","Your Song","Elton John",0.825,0.561,0.302,5.21e-06,3,0.131,-10.986,1,0.0319,128.172,4,0.278,240.75,"1"
"149","Hound Dog","Elvis Presley",0.733,0.357,0.756,0.00505,0,0.76,-8.492,1,0.0621,174.797,4,0.95,136.027,"1"
"150","'Till I Collapse","Eminem",0.0757,0.572,0.853,0,1,0.0798,-3.203,1,0.217,171.297,4,0.102,297.893,"1"
"151","Lose Yourself - Soundtrack Version","Eminem",0.00704,0.698,0.732,0.000647,2,0.359,-4.522,1,0.266,171.431,4,0.0689,326.467,"1"
"152","My Name Is","Eminem",0.0422,0.863,0.677,0,1,0.0889,-6.281,1,0.325,85.527,4,0.819,268.4,"1"
"153","Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack","Emma Stone",0.785,0.365,0.151,0,5,0.348,-11.673,1,0.0427,140.903,5,0.342,228.267,"1"
"154","Someone In The Crowd - From ""La La Land"" Soundtrack","Emma Stone",0.092,0.465,0.544,3.32e-05,0,0.224,-9.163,0,0.305,128.003,4,0.254,259.613,"1"
"155","Hero","Enrique Iglesias",0.135,0.567,0.65,1.94e-05,7,0.11,-5.478,1,0.0447,76.036,4,0.154,264.6,"1"
"156","Tears In Heaven","Eric Clapton",0.8,0.695,0.336,0.00264,9,0.701,-12.999,1,0.0313,79.109,4,0.422,280,"1"
"157","At Last - Single Version","Etta James",0.721,0.168,0.326,6e-04,5,0.316,-9.981,1,0.0324,174.794,3,0.322,182.4,"1"
"158","Chateau Lobby #4 (in C for Two Virgins)","Father John Misty",0.209,0.436,0.804,0,0,0.171,-4.907,1,0.0409,188.061,4,0.784,170.84,"1"
"159","I Went To The Store One Day","Father John Misty",0.788,0.311,0.145,3.37e-05,3,0.115,-16.798,1,0.0393,147.391,4,0.227,265.68,"1"
"160","When You're Smiling And Astride Me","Father John Misty",0.206,0.568,0.521,3.12e-05,9,0.121,-6.425,0,0.0265,110.936,4,0.554,274.053,"1"
"161","1234","Feist",0.268,0.704,0.482,5.34e-06,2,0.0852,-7.365,1,0.0569,109.914,4,0.609,183.623,"1"
"162","Glamorous","Fergie",0.32,0.81,0.748,0,0,0.0951,-6.464,1,0.211,130.983,4,0.669,246.573,"1"
"163","679 (feat. Remy Boyz)","Fetty Wap",0.00256,0.618,0.717,0,7,0.625,-5.738,1,0.318,190.05,4,0.603,196.693,"1"
"164","My Way (feat. Monty)","Fetty Wap",0.00419,0.748,0.741,0,6,0.147,-3.103,1,0.0531,128.077,4,0.537,213.053,"1"
