,0,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Lips Are Movin,Meghan Trainor,0.0506,https://api.spotify.com/v1/audio-analysis/6gj08XDlv9Duc2fPOxUmVD,0.775,182667,0.825,6gj08XDlv9Duc2fPOxUmVD,1.03e-06,7,0.111,-5.402,1,0.0464,139.091,4,https://api.spotify.com/v1/tracks/6gj08XDlv9Duc2fPOxUmVD,audio_features,spotify:track:6gj08XDlv9Duc2fPOxUmVD,0.95
1,Ms. Jackson,OutKast,0.142,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,0.843,270507,0.805,0I3q5fE6wg7LIfHGngUTnV,0.0,4,0.0771,-5.946,0,0.269,94.946,4,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,audio_features,spotify:track:0I3q5fE6wg7LIfHGngUTnV,0.615
2,Smells Like Teen Spirit,Nirvana,2.86e-05,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,0.516,301920,0.906,5ghIJDpPoe3CfHMGu71E6T,0.000101,1,0.105,-4.525,1,0.0658,116.775,4,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,audio_features,spotify:track:5ghIJDpPoe3CfHMGu71E6T,0.728
3,Come As You Are,Nirvana,0.000182,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV,0.505,218920,0.825,4P5KoWXOxwuobLmHXLMobV,0.000948,4,0.0855,-5.721,0,0.0401,119.987,4,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,audio_features,spotify:track:4P5KoWXOxwuobLmHXLMobV,0.541
4,Fergalicious,Fergie,0.0568,https://api.spotify.com/v1/audio-analysis/1D066zixBwqFYqBhKgdPzp,0.904,292373,0.598,1D066zixBwqFYqBhKgdPzp,0.0,8,0.111,-7.651,0,0.337,129.055,4,https://api.spotify.com/v1/tracks/1D066zixBwqFYqBhKgdPzp,audio_features,spotify:track:1D066zixBwqFYqBhKgdPzp,0.785
5,Hot In Herre,Nelly,0.218,https://api.spotify.com/v1/audio-analysis/04KTF78FFg8sOHC1BADqbY,0.965,228227,0.736,04KTF78FFg8sOHC1BADqbY,0.0,9,0.0595,-5.005,0,0.144,107.07,4,https://api.spotify.com/v1/tracks/04KTF78FFg8sOHC1BADqbY,audio_features,spotify:track:04KTF78FFg8sOHC1BADqbY,0.921
6,Just A Dream - Main,Nelly,0.0413,https://api.spotify.com/v1/audio-analysis/3ZdJffjzJWFimSQyxgGIxN,0.554,237800,0.764,3ZdJffjzJWFimSQyxgGIxN,0.0,1,0.123,-6.129,1,0.031,90.0,4,https://api.spotify.com/v1/tracks/3ZdJffjzJWFimSQyxgGIxN,audio_features,spotify:track:3ZdJffjzJWFimSQyxgGIxN,0.0991
7,All About That Bass,Meghan Trainor,0.0476,https://api.spotify.com/v1/audio-analysis/0ifSeVGUr7py5GggttDhXw,0.811,188754,0.879,0ifSeVGUr7py5GggttDhXw,1.91e-06,9,0.109,-3.724,1,0.0514,134.064,4,https://api.spotify.com/v1/tracks/0ifSeVGUr7py5GggttDhXw,audio_features,spotify:track:0ifSeVGUr7py5GggttDhXw,0.962
8,Payphone,Maroon 5,0.0198,https://api.spotify.com/v1/audio-analysis/1LmN9SSHISbtp9LoaR5ZVJ,0.74,231387,0.746,1LmN9SSHISbtp9LoaR5ZVJ,0.0,4,0.363,-4.696,1,0.0424,110.01,4,https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ,audio_features,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,0.505
9,One More Night,Maroon 5,0.0539,https://api.spotify.com/v1/audio-analysis/423oRmTgCWl8nF9Oac1fvA,0.713,219467,0.798,423oRmTgCWl8nF9Oac1fvA,0.0,5,0.0969,-3.423,0,0.0338,92.986,4,https://api.spotify.com/v1/tracks/423oRmTgCWl8nF9Oac1fvA,audio_features,spotify:track:423oRmTgCWl8nF9Oac1fvA,0.659
10,Love Somebody,Maroon 5,0.127,https://api.spotify.com/v1/audio-analysis/0B7uZOwTqMBLhvbD3RIFLa,0.681,229827,0.75,0B7uZOwTqMBLhvbD3RIFLa,0.0,1,0.118,-6.257,1,0.0392,119.97,4,https://api.spotify.com/v1/tracks/0B7uZOwTqMBLhvbD3RIFLa,audio_features,spotify:track:0B7uZOwTqMBLhvbD3RIFLa,0.451
11,This Love,Maroon 5,0.0535,https://api.spotify.com/v1/audio-analysis/6YgV0EF8xJMZz0Zm6BTaT4,0.711,206200,0.849,6YgV0EF8xJMZz0Zm6BTaT4,0.0,5,0.113,-4.634,0,0.0383,95.041,4,https://api.spotify.com/v1/tracks/6YgV0EF8xJMZz0Zm6BTaT4,audio_features,spotify:track:6YgV0EF8xJMZz0Zm6BTaT4,0.776
12,Rude,MAGIC!,0.0435,https://api.spotify.com/v1/audio-analysis/3tCwjWLicbjsMCvXhN0WOE,0.743,224773,0.807,3tCwjWLicbjsMCvXhN0WOE,0.0,1,0.309,-3.78,1,0.0364,144.062,4,https://api.spotify.com/v1/tracks/3tCwjWLicbjsMCvXhN0WOE,audio_features,spotify:track:3tCwjWLicbjsMCvXhN0WOE,0.899
13,Million Dollar Bills,Lorde,0.249,https://api.spotify.com/v1/audio-analysis/3Lw7lWTJlcqlx8E9HFmByr,0.689,138211,0.551,3Lw7lWTJlcqlx8E9HFmByr,0.0202,10,0.226,-6.403,0,0.0916,81.98,4,https://api.spotify.com/v1/tracks/3Lw7lWTJlcqlx8E9HFmByr,audio_features,spotify:track:3Lw7lWTJlcqlx8E9HFmByr,0.464
14,Royals,Lorde,0.105,https://api.spotify.com/v1/audio-analysis/7BFI9QZPQKgYuR2HhDgwbG,0.634,190185,0.427,7BFI9QZPQKgYuR2HhDgwbG,0.0,7,0.132,-9.543,1,0.138,84.849,4,https://api.spotify.com/v1/tracks/7BFI9QZPQKgYuR2HhDgwbG,audio_features,spotify:track:7BFI9QZPQKgYuR2HhDgwbG,0.325
15,Green Light,Lorde,0.0166,https://api.spotify.com/v1/audio-analysis/3I4QOvltiKcMu3xmnQjEct,0.598,234653,0.731,3I4QOvltiKcMu3xmnQjEct,1.58e-05,9,0.0794,-7.776,1,0.106,128.851,4,https://api.spotify.com/v1/tracks/3I4QOvltiKcMu3xmnQjEct,audio_features,spotify:track:3I4QOvltiKcMu3xmnQjEct,0.229
16,Bleeding Love,Leona Lewis,0.188,https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE,0.638,262467,0.656,7wZUrN8oemZfsEd1CGkbXE,0.0,5,0.146,-5.886,1,0.0357,104.036,4,https://api.spotify.com/v1/tracks/7wZUrN8oemZfsEd1CGkbXE,audio_features,spotify:track:7wZUrN8oemZfsEd1CGkbXE,0.225
17,She Will,Lil Wayne,0.00049,https://api.spotify.com/v1/audio-analysis/5eEj1vkMIqtmvaTk7cS4UC,0.342,305840,0.844,5eEj1vkMIqtmvaTk7cS4UC,0.0,8,0.261,-4.869,1,0.108,92.083,5,https://api.spotify.com/v1/tracks/5eEj1vkMIqtmvaTk7cS4UC,audio_features,spotify:track:5eEj1vkMIqtmvaTk7cS4UC,0.0675
18,How To Love,Lil Wayne,0.000189,https://api.spotify.com/v1/audio-analysis/36IZGm2IuECLTxMKa9qajO,0.66,240307,0.66,36IZGm2IuECLTxMKa9qajO,2.65e-06,11,0.118,-6.234,1,0.0527,154.001,4,https://api.spotify.com/v1/tracks/36IZGm2IuECLTxMKa9qajO,audio_features,spotify:track:36IZGm2IuECLTxMKa9qajO,0.255
19,John,Lil Wayne,0.0138,https://api.spotify.com/v1/audio-analysis/2UgszKS00OHz6oUX9MMA9P,0.552,286973,0.826,2UgszKS00OHz6oUX9MMA9P,0.0,1,0.113,-4.411,0,0.154,154.971,4,https://api.spotify.com/v1/tracks/2UgszKS00OHz6oUX9MMA9P,audio_features,spotify:track:2UgszKS00OHz6oUX9MMA9P,0.402
20,Ride Wit Me,Nelly,0.0668,https://api.spotify.com/v1/audio-analysis/06iMqWThw4w8fTFyccvOwr,0.854,291782,0.692,06iMqWThw4w8fTFyccvOwr,0.0,7,0.247,-6.625,1,0.0479,101.865,4,https://api.spotify.com/v1/tracks/06iMqWThw4w8fTFyccvOwr,audio_features,spotify:track:06iMqWThw4w8fTFyccvOwr,0.753
21,Maps,Maroon 5,0.0183,https://api.spotify.com/v1/audio-analysis/4gbVRS8gloEluzf0GzDOFc,0.745,189959,0.714,4gbVRS8gloEluzf0GzDOFc,0.0,1,0.0636,-5.501,0,0.0302,120.025,4,https://api.spotify.com/v1/tracks/4gbVRS8gloEluzf0GzDOFc,audio_features,spotify:track:4gbVRS8gloEluzf0GzDOFc,0.853
22,Low (feat T-Pain),Flo Rida,0.0928,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,0.918,231400,0.609,0CAfXk7DXMnon4gLudAp7J,0.0,10,0.139,-5.64,0,0.0791,128.008,4,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,audio_features,spotify:track:0CAfXk7DXMnon4gLudAp7J,0.304
23,SexyBack,Justin Timberlake,0.0584,https://api.spotify.com/v1/audio-analysis/0O45fw2L5vsWpdsOdXwNAR,0.967,242733,0.583,0O45fw2L5vsWpdsOdXwNAR,0.0,7,0.0519,-5.562,0,0.0789,117.0,4,https://api.spotify.com/v1/tracks/0O45fw2L5vsWpdsOdXwNAR,audio_features,spotify:track:0O45fw2L5vsWpdsOdXwNAR,0.964
24,Hollaback Girl,Gwen Stefani,0.38,https://api.spotify.com/v1/audio-analysis/6RcQOut9fWL6FSqeIr5M1r,0.92,199907,0.918,6RcQOut9fWL6FSqeIr5M1r,2.71e-06,10,0.0289,-2.072,0,0.0887,110.02,4,https://api.spotify.com/v1/tracks/6RcQOut9fWL6FSqeIr5M1r,audio_features,spotify:track:6RcQOut9fWL6FSqeIr5M1r,0.915
25,"One, Two Step",Ciara,0.042,https://api.spotify.com/v1/audio-analysis/7uKcScNXuO3MWw6LowBjW1,0.944,203787,0.511,7uKcScNXuO3MWw6LowBjW1,0.00107,5,0.0379,-10.96,0,0.161,113.046,4,https://api.spotify.com/v1/tracks/7uKcScNXuO3MWw6LowBjW1,audio_features,spotify:track:7uKcScNXuO3MWw6LowBjW1,0.842
26,Kiss Me Thru The Phone,Soulja Boy,0.0175,https://api.spotify.com/v1/audio-analysis/2q4rjDy9WhaN3o9MvDbO21,0.761,193387,0.724,2q4rjDy9WhaN3o9MvDbO21,0.0,7,0.116,-3.818,1,0.111,149.936,4,https://api.spotify.com/v1/tracks/2q4rjDy9WhaN3o9MvDbO21,audio_features,spotify:track:2q4rjDy9WhaN3o9MvDbO21,0.815
27,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0.0319,https://api.spotify.com/v1/audio-analysis/0qOnSQQF0yzuPWsXrQ9paz,0.646,210960,0.795,0qOnSQQF0yzuPWsXrQ9paz,0.0,9,0.267,-3.293,1,0.0976,89.99,4,https://api.spotify.com/v1/tracks/0qOnSQQF0yzuPWsXrQ9paz,audio_features,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,0.796
28,Sing,Ed Sheeran,0.304,https://api.spotify.com/v1/audio-analysis/6u0oHknFYrnUd42A6rvFly,0.818,235382,0.67,6u0oHknFYrnUd42A6rvFly,1.22e-06,8,0.0601,-4.451,0,0.0472,119.988,4,https://api.spotify.com/v1/tracks/6u0oHknFYrnUd42A6rvFly,audio_features,spotify:track:6u0oHknFYrnUd42A6rvFly,0.939
29,Mirror,Lil Wayne,0.856,https://api.spotify.com/v1/audio-analysis/6MreoQf8oixWI2xRcw3Fv1,0.326,228093,0.649,6MreoQf8oixWI2xRcw3Fv1,0.0,5,0.101,-7.112,0,0.136,75.022,4,https://api.spotify.com/v1/tracks/6MreoQf8oixWI2xRcw3Fv1,audio_features,spotify:track:6MreoQf8oixWI2xRcw3Fv1,0.341
30,Rock That Body,The Black Eyed Peas,0.0197,https://api.spotify.com/v1/audio-analysis/5K5LbSTVuKKe1KGMNfBgIW,0.713,268840,0.898,5K5LbSTVuKKe1KGMNfBgIW,2.62e-05,2,0.435,-6.009,0,0.111,124.976,4,https://api.spotify.com/v1/tracks/5K5LbSTVuKKe1KGMNfBgIW,audio_features,spotify:track:5K5LbSTVuKKe1KGMNfBgIW,0.858
31,Pompeii,Bastille,0.078,https://api.spotify.com/v1/audio-analysis/3gbBpTdY8lnQwqxNCcf795,0.681,214148,0.715,3gbBpTdY8lnQwqxNCcf795,0.0,9,0.275,-6.318,1,0.0388,127.429,4,https://api.spotify.com/v1/tracks/3gbBpTdY8lnQwqxNCcf795,audio_features,spotify:track:3gbBpTdY8lnQwqxNCcf795,0.593
32,Nothin' On You (feat. Bruno Mars),B.o.B,0.386,https://api.spotify.com/v1/audio-analysis/59dLtGBS26x7kc0rHbaPrq,0.688,268320,0.853,59dLtGBS26x7kc0rHbaPrq,0.0,10,0.0862,-5.814,1,0.0493,103.993,4,https://api.spotify.com/v1/tracks/59dLtGBS26x7kc0rHbaPrq,audio_features,spotify:track:59dLtGBS26x7kc0rHbaPrq,0.743
33,The Fighter - feat. Ryan Tedder,Gym Class Heroes,0.0775,https://api.spotify.com/v1/audio-analysis/77ZdAoTHYoF6Umo76HFD4m,0.592,228533,0.926,77ZdAoTHYoF6Umo76HFD4m,0.0,7,0.187,-3.469,1,0.126,99.018,4,https://api.spotify.com/v1/tracks/77ZdAoTHYoF6Umo76HFD4m,audio_features,spotify:track:77ZdAoTHYoF6Umo76HFD4m,0.432
34,Imma Be,The Black Eyed Peas,0.184,https://api.spotify.com/v1/audio-analysis/5OiLJ8tjUPFiPX2gVM8fxJ,0.619,257560,0.539,5OiLJ8tjUPFiPX2gVM8fxJ,0.0,0,0.288,-6.9,1,0.387,145.618,0,https://api.spotify.com/v1/tracks/5OiLJ8tjUPFiPX2gVM8fxJ,audio_features,spotify:track:5OiLJ8tjUPFiPX2gVM8fxJ,0.424
35,Don't,Ed Sheeran,0.0113,https://api.spotify.com/v1/audio-analysis/6gTJaPuj8DT8RjuDJyBgzP,0.806,219840,0.608,6gTJaPuj8DT8RjuDJyBgzP,0.0,1,0.635,-7.008,1,0.0659,95.049,4,https://api.spotify.com/v1/tracks/6gTJaPuj8DT8RjuDJyBgzP,audio_features,spotify:track:6gTJaPuj8DT8RjuDJyBgzP,0.849
36,Pretty Girls (feat. Travie McCoy),Iyaz,0.0386,https://api.spotify.com/v1/audio-analysis/3Ju48PMNQkAGxjJCbWcfeM,0.647,223507,0.749,3Ju48PMNQkAGxjJCbWcfeM,0.0,8,0.298,-5.019,1,0.0478,76.84,4,https://api.spotify.com/v1/tracks/3Ju48PMNQkAGxjJCbWcfeM,audio_features,spotify:track:3Ju48PMNQkAGxjJCbWcfeM,0.659
37,Rocketeer,Far East Movement,0.166,https://api.spotify.com/v1/audio-analysis/45sDIKapDyxPl307QpEAwl,0.666,211253,0.819,45sDIKapDyxPl307QpEAwl,0.0,4,0.261,-6.053,0,0.0466,95.999,4,https://api.spotify.com/v1/tracks/45sDIKapDyxPl307QpEAwl,audio_features,spotify:track:45sDIKapDyxPl307QpEAwl,0.408
