,0,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cry Baby,The Neighbourhood,0.00269,https://api.spotify.com/v1/audio-analysis/0EfsDEYaSjGYd66Pr881nq,0.581,235160.0,0.656,0EfsDEYaSjGYd66Pr881nq,2.78e-06,4.0,0.101,-4.891,0.0,0.0294,108.033,4.0,https://api.spotify.com/v1/tracks/0EfsDEYaSjGYd66Pr881nq,audio_features,spotify:track:0EfsDEYaSjGYd66Pr881nq,0.338
1,Single,The Neighbourhood,0.755,https://api.spotify.com/v1/audio-analysis/5Ma3BlNVDtn3JiwMEafSaq,0.249,262320.0,0.492,5Ma3BlNVDtn3JiwMEafSaq,0.0,2.0,0.243,-7.108,0.0,0.0352,54.134,4.0,https://api.spotify.com/v1/tracks/5Ma3BlNVDtn3JiwMEafSaq,audio_features,spotify:track:5Ma3BlNVDtn3JiwMEafSaq,0.34
2,R.I.P. 2 My Youth,The Neighbourhood,0.00216,https://api.spotify.com/v1/audio-analysis/07VBqWH6NG8L2ad3l84UKk,0.353,205280.0,0.686,07VBqWH6NG8L2ad3l84UKk,0.0,7.0,0.123,-5.704,0.0,0.0534,94.47,4.0,https://api.spotify.com/v1/tracks/07VBqWH6NG8L2ad3l84UKk,audio_features,spotify:track:07VBqWH6NG8L2ad3l84UKk,0.177
3,505,Arctic Monkeys,0.00237,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,0.52,253587.0,0.852,58ge6dfP91o9oXMzq3XkIS,5.79e-05,0.0,0.0733,-5.866,1.0,0.0543,140.267,4.0,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,audio_features,spotify:track:58ge6dfP91o9oXMzq3XkIS,0.234
4,Mardy Bum,Arctic Monkeys,0.0347,https://api.spotify.com/v1/audio-analysis/6vUQzZNArn4nHVGBjvsO79,0.644,177440.0,0.607,6vUQzZNArn4nHVGBjvsO79,0.0,2.0,0.169,-5.437,1.0,0.0368,112.167,4.0,https://api.spotify.com/v1/tracks/6vUQzZNArn4nHVGBjvsO79,audio_features,spotify:track:6vUQzZNArn4nHVGBjvsO79,0.327
5,Why'd You Only Call Me When You're High?,Arctic Monkeys,0.0483,https://api.spotify.com/v1/audio-analysis/4snPK1i9Eh0pESLj6mqa4C,0.691,161124.0,0.631,4snPK1i9Eh0pESLj6mqa4C,1.13e-05,2.0,0.104,-6.478,1.0,0.0368,92.004,4.0,https://api.spotify.com/v1/tracks/4snPK1i9Eh0pESLj6mqa4C,audio_features,spotify:track:4snPK1i9Eh0pESLj6mqa4C,0.8
6,Stop The World I Wanna Get Off With You,Arctic Monkeys,0.0537,https://api.spotify.com/v1/audio-analysis/0dUEkC3NkQ5JELrg19KjWj,0.661,191040.0,0.73,0dUEkC3NkQ5JELrg19KjWj,3.44e-05,6.0,0.14,-6.779,0.0,0.0574,95.027,4.0,https://api.spotify.com/v1/tracks/0dUEkC3NkQ5JELrg19KjWj,audio_features,spotify:track:0dUEkC3NkQ5JELrg19KjWj,0.53
7,Do I Wanna Know?,Arctic Monkeys,0.186,https://api.spotify.com/v1/audio-analysis/3jfr0TF6DQcOLat8gGn7E2,0.548,272394.0,0.532,3jfr0TF6DQcOLat8gGn7E2,0.000263,5.0,0.217,-7.596,1.0,0.0323,85.03,4.0,https://api.spotify.com/v1/tracks/3jfr0TF6DQcOLat8gGn7E2,audio_features,spotify:track:3jfr0TF6DQcOLat8gGn7E2,0.405
8,Baby Came Home 2 / Valentines,The Neighbourhood,0.0687,https://api.spotify.com/v1/audio-analysis/40gvh6jP5qxMJuMmF9lG9A,0.21,390493.0,0.499,40gvh6jP5qxMJuMmF9lG9A,0.00315,2.0,0.773,-9.754,0.0,0.0485,74.094,4.0,https://api.spotify.com/v1/tracks/40gvh6jP5qxMJuMmF9lG9A,audio_features,spotify:track:40gvh6jP5qxMJuMmF9lG9A,0.108
9,When You Were Young,The Killers,0.000152,https://api.spotify.com/v1/audio-analysis/70wYA8oYHoMzhRRkARoMhU,0.467,220427.0,0.988,70wYA8oYHoMzhRRkARoMhU,0.0484,11.0,0.28,-3.313,1.0,0.112,130.435,4.0,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU,audio_features,spotify:track:70wYA8oYHoMzhRRkARoMhU,0.321
