,0,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Let It Happen,Tame Impala,0.00462,https://api.spotify.com/v1/audio-analysis/2X485T9Z5Ly0xyaghN73ed,0.602,467587,0.881,2X485T9Z5Ly0xyaghN73ed,0.0266,1,0.111,-5.875,0,0.0443,125.012,4,https://api.spotify.com/v1/tracks/2X485T9Z5Ly0xyaghN73ed,audio_features,spotify:track:2X485T9Z5Ly0xyaghN73ed,0.577
1,Yes I'm Changing,Tame Impala,0.108,https://api.spotify.com/v1/audio-analysis/0xtIp0lgccN85GfGOekS5L,0.373,270680,0.609,0xtIp0lgccN85GfGOekS5L,0.000427,0,0.0755,-7.0,1,0.0316,179.955,4,https://api.spotify.com/v1/tracks/0xtIp0lgccN85GfGOekS5L,audio_features,spotify:track:0xtIp0lgccN85GfGOekS5L,0.354
2,Eventually,Tame Impala,0.0158,https://api.spotify.com/v1/audio-analysis/5M4yti0QxgqJieUYaEXcpw,0.424,318591,0.615,5M4yti0QxgqJieUYaEXcpw,0.000389,9,0.0844,-6.217,0,0.0325,77.935,4,https://api.spotify.com/v1/tracks/5M4yti0QxgqJieUYaEXcpw,audio_features,spotify:track:5M4yti0QxgqJieUYaEXcpw,0.155
3,The Less I Know The Better,Tame Impala,0.0115,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,0.64,216320,0.74,6K4t31amVTZDgR3sKmwUJJ,0.00678,4,0.167,-4.083,1,0.0284,116.879,4,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,audio_features,spotify:track:6K4t31amVTZDgR3sKmwUJJ,0.785
4,'Cause I'm A Man,Tame Impala,0.108,https://api.spotify.com/v1/audio-analysis/2O99aywAVBhaPrsiJ6zbSS,0.547,241987,0.695,2O99aywAVBhaPrsiJ6zbSS,0.00301,9,0.14,-4.969,1,0.0337,144.684,4,https://api.spotify.com/v1/tracks/2O99aywAVBhaPrsiJ6zbSS,audio_features,spotify:track:2O99aywAVBhaPrsiJ6zbSS,0.641
5,"New Person, Same Old Mistakes",Tame Impala,0.272,https://api.spotify.com/v1/audio-analysis/52ojopYMUzeNcudsoz7O9D,0.47,363240,0.809,52ojopYMUzeNcudsoz7O9D,0.00671,8,0.0491,-6.74,1,0.0495,151.836,4,https://api.spotify.com/v1/tracks/52ojopYMUzeNcudsoz7O9D,audio_features,spotify:track:52ojopYMUzeNcudsoz7O9D,0.49
6,Be Above It,Tame Impala,0.397,https://api.spotify.com/v1/audio-analysis/2Gl1Qdx5Px5kVYe0PQoGI0,0.747,201960,0.973,2Gl1Qdx5Px5kVYe0PQoGI0,0.263,4,0.109,-6.005,0,0.0644,118.986,4,https://api.spotify.com/v1/tracks/2Gl1Qdx5Px5kVYe0PQoGI0,audio_features,spotify:track:2Gl1Qdx5Px5kVYe0PQoGI0,0.375
7,Endors Toi,Tame Impala,0.0324,https://api.spotify.com/v1/audio-analysis/0YuePEX4KyfLIPMdNLPwgQ,0.2,186640,0.94,0YuePEX4KyfLIPMdNLPwgQ,0.373,3,0.372,-3.249,1,0.103,130.011,4,https://api.spotify.com/v1/tracks/0YuePEX4KyfLIPMdNLPwgQ,audio_features,spotify:track:0YuePEX4KyfLIPMdNLPwgQ,0.347
8,Apocalypse Dreams,Tame Impala,0.318,https://api.spotify.com/v1/audio-analysis/7qU7vhCPKhkDiJYGoboISc,0.492,356947,0.928,7qU7vhCPKhkDiJYGoboISc,0.107,8,0.0873,-2.261,1,0.0495,127.995,4,https://api.spotify.com/v1/tracks/7qU7vhCPKhkDiJYGoboISc,audio_features,spotify:track:7qU7vhCPKhkDiJYGoboISc,0.312
9,Mind Mischief,Tame Impala,0.0845,https://api.spotify.com/v1/audio-analysis/6ewQE1dNPv9qqlnB1CxrvM,0.244,271880,0.939,6ewQE1dNPv9qqlnB1CxrvM,0.000687,6,0.371,-3.112,1,0.0548,161.127,4,https://api.spotify.com/v1/tracks/6ewQE1dNPv9qqlnB1CxrvM,audio_features,spotify:track:6ewQE1dNPv9qqlnB1CxrvM,0.857
